
   INFO  Server running on [http://127.0.0.1:8007].  

  Press Ctrl+C to stop the server

  2026-07-14 21:48:36 / ........................................................................................ ~ 1s
  2026-07-14 21:48:37 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.74ms
  2026-07-14 21:48:37 /build/assets/app-BDwipKSs.css ....................................................... ~ 3.93ms
  2026-07-14 21:48:37 /build/assets/app-DNchKTCw.js ........................................................ ~ 7.73ms
  2026-07-14 21:48:37 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.76ms
  2026-07-14 21:48:37 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 3.45ms
  2026-07-14 21:48:37 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 5.23ms
  2026-07-14 21:48:37 /favicon.ico ......................................................................... ~ 0.29ms
  2026-07-14 21:48:39 / .................................................................................. ~ 513.57ms
  2026-07-14 21:48:39 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.29ms
  2026-07-14 21:48:39 /build/assets/app-BDwipKSs.css ....................................................... ~ 2.65ms
  2026-07-14 21:48:39 /build/assets/app-DNchKTCw.js ........................................................ ~ 0.21ms
  2026-07-14 21:48:39 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.25ms
  2026-07-14 21:48:39 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 1.32ms
  2026-07-14 21:48:39 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 0.24ms
  2026-07-14 21:48:40 /favicon.ico ......................................................................... ~ 0.27ms
  2026-07-14 21:48:41 / .................................................................................. ~ 511.72ms
  2026-07-14 21:48:42 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.41ms
  2026-07-14 21:48:42 /build/assets/app-BDwipKSs.css ....................................................... ~ 0.31ms
  2026-07-14 21:48:42 /build/assets/app-DNchKTCw.js ........................................................ ~ 1.93ms
  2026-07-14 21:48:42 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.21ms
  2026-07-14 21:48:42 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 0.52ms
  2026-07-14 21:48:42 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 2.15ms
  2026-07-14 21:48:42 /favicon.ico ......................................................................... ~ 0.17ms
  2026-07-14 21:48:43 / .................................................................................. ~ 513.84ms
  2026-07-14 21:48:44 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.44ms
  2026-07-14 21:48:44 /build/assets/app-BDwipKSs.css ....................................................... ~ 2.21ms
  2026-07-14 21:48:44 /build/assets/app-DNchKTCw.js ........................................................ ~ 3.66ms
  2026-07-14 21:48:44 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.27ms
  2026-07-14 21:48:44 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 2.51ms
  2026-07-14 21:48:44 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 3.64ms
  2026-07-14 21:48:44 /favicon.ico ......................................................................... ~ 0.23ms
  2026-07-14 21:48:45 / .................................................................................. ~ 520.82ms
  2026-07-14 21:48:46 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.33ms
  2026-07-14 21:48:46 /build/assets/app-BDwipKSs.css ....................................................... ~ 2.27ms
  2026-07-14 21:48:46 /build/assets/app-DNchKTCw.js ........................................................ ~ 2.01ms
  2026-07-14 21:48:46 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.88ms
  2026-07-14 21:48:46 /build/assets/jetbrains-mono-latin-wght-normal-B9CIFXIH.woff2 ........................ ~ 2.50ms
  2026-07-14 21:48:46 /build/assets/Phosphor-DtdjzkpE.woff2 ................................................ ~ 3.82ms
  2026-07-14 21:48:46 /favicon.ico ......................................................................... ~ 0.51ms
  2026-07-14 21:51:39 / .................................................................................... ~ 0.44ms
  2026-07-14 21:51:39 /build/assets/app-_uzkxMVW.css ....................................................... ~ 0.41ms
  2026-07-14 21:51:39 /build/assets/app-BDwipKSs.css ....................................................... ~ 2.15ms
  2026-07-14 21:51:39 /build/assets/app-DNchKTCw.js ........................................................ ~ 4.18ms
  2026-07-14 21:51:39 /build/assets/space-grotesk-latin-wght-normal-BhU9QXUp.woff2 ......................... ~ 0.28ms
